"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","@@regression mock search data api","chromium","2026-06-27","passed","2026-06-27","","api/intercept.spec.ts","",""
"","0","@regression invalid login test with - - pw1234","chromium","2026-06-27","skipped","2026-06-27","","loginpagefix.spec.ts","",""
"","309","@regression GET API -- get all users","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","40331","@regression invalid login test with excel data -","chromium","2026-06-27","broken","2026-06-27","","loginpagefix.spec.ts","",""
"","43348","@smoke home page title test","chromium","2026-06-27","broken","2026-06-27","","homepagefix.spec.ts","",""
"","40238","@smoke comp logo exists on product page","chromium","2026-06-27","broken","2026-06-27","","search.spec.ts","",""
"","357","@smoke GET -- get all users","chromium","2026-06-27","passed","2026-06-27","","api/users.api.schema.spec.ts","",""
"","43491","@smoke comp logo exists on product page","chromium","2026-06-27","broken","2026-06-27","","loginpagefix.spec.ts","",""
"","40195","@regression verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-06-27","broken","2026-06-27","","search.spec.ts","",""
"","1","@regression verify search results count - macbook - MacBook Pro","chromium","2026-06-27","skipped","2026-06-27","","search.spec.ts","",""
"","40187","@regression verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-06-27","broken","2026-06-27","","search.spec.ts","",""
"","42917","@smoke logout link exist test","chromium","2026-06-27","broken","2026-06-27","","homepagefix.spec.ts","",""
"","40191","@smoke comp logo exists on product page","chromium","2026-06-27","broken","2026-06-27","","productpage.spec.ts","",""
"","43849","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-06-27","broken","2026-06-27","","loginpagefix.spec.ts","",""
"","0","forgot pwd link exist test","chromium","2026-06-27","skipped","2026-06-27","","loginpage.spec.ts","",""
"","0","Delete a user test","chromium","2026-06-27","skipped","2026-06-27","","api/users.api.spec.ts","",""
"","1","@regression invalid login test with - invalid@open.com - wrong123","chromium","2026-06-27","skipped","2026-06-27","","loginpagefix.spec.ts","",""
"","305","@regression DELETE API -- Delete a user","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","40215","@regression verify product Information/Data","chromium","2026-06-27","broken","2026-06-27","","productpage.spec.ts","",""
"","43973","@regression forgot pwd link exist test","chromium","2026-06-27","broken","2026-06-27","","loginpagefix.spec.ts","",""
"","807","@regression GET -- get location data","chromium","2026-06-27","passed","2026-06-27","","api/amadeus.oauth2.spec.ts","",""
"","40196","@smoke footers exist on product page","chromium","2026-06-27","broken","2026-06-27","","search.spec.ts","",""
