"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3165","@smoke comp logo exists on product page","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","1393","@smoke GET -- get all users","chromium","2026-06-27","passed","2026-06-27","","api/users.api.schema.spec.ts","",""
"","3176","@smoke user is able to login to app test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","3132","@smoke footers exist on product page","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2365","@smoke comp logo exists on product page","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","3199","@smoke logout link exist test","chromium","2026-06-27","passed","2026-06-27","","homepagefix.spec.ts","",""
"","2475","@smoke footers exist on product page","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2348","@smoke login page title test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2777","@smoke intercept and log requests","chromium","2026-06-27","passed","2026-06-27","","api/intercept.spec.ts","",""
"","3307","@smoke home page title test","chromium","2026-06-27","passed","2026-06-27","","homepagefix.spec.ts","",""
"","2998","@smoke comp logo exists on product page","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","3141","@smoke footers exist on product page","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","1841","@smoke GET -- get a user","chromium","2026-06-27","passed","2026-06-27","","api/users.api.schema.spec.ts","",""
