"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1654","@smoke GET -- get a user","chromium","2026-06-27","passed","2026-06-27","","api/users.api.schema.spec.ts","",""
"","3367","@smoke intercept and log requests","chromium","2026-06-27","passed","2026-06-27","","api/intercept.spec.ts","",""
"","1341","@smoke GET -- get all users","chromium","2026-06-27","passed","2026-06-27","","api/users.api.schema.spec.ts","",""
"","3100","@smoke logout link exist test","chromium","2026-06-27","passed","2026-06-27","","homepagefix.spec.ts","",""
"","2293","@smoke login page title test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2990","@smoke home page title test","chromium","2026-06-27","passed","2026-06-27","","homepagefix.spec.ts","",""
"","3275","@smoke user is able to login to app test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","3115","@smoke comp logo exists on product page","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","2305","@smoke footers exist on product page","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2995","@smoke comp logo exists on product page","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2998","@smoke footers exist on product page","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","2349","@smoke comp logo exists on product page","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","3141","@smoke footers exist on product page","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
